Название знака	Группа	Форма	Цвет фона	Наличие окантовки	Наличие знака в знаке	Форма внутреннего знака	Наличие стрелок	Наличие красной стрелки	Характер текста	Вид транспорта	Тип зданий
1.1  «Опасный поворот направо».	1	Треугольник, вершина вверх	Белый	Есть	Нет	---	Нет	Нет	---	---	---
1.4.3  «Направление поворота».	1	Прямоугольник	Красный	Нет	Нет	---	Нет	Нет	---	---	---
1.6  «Крутой подъем».	1	Треугольник, вершина вверх	Белый	Есть	Нет	---	Нет	Нет	Числа, елиницы измерения	---	---
1.20  «Пересечение с трамвайными путями».	1	Треугольник, вершина вверх	Белый	Есть	Нет	---	Нет	Нет	---	Общественный (автобус, троллейбус, трамвай, самолет, поезд)	---
1.30  «Многопутная железная дорога».	1	Форма буквы Х	Белый	Есть	Нет	---	Нет	Нет	---	---	---
1.31.1 «Приближение к железнодорожному переезду».	1	Прямоугольник	Белый	Нет	Нет	---	Нет	Нет	---	---	---
1.37  «Дорожные работы».	1	Треугольник, вершина вверх	Желтый	Есть	Нет	---	Нет	Нет	---	---	---
2.1  «Уступить дорогу».	2	Треугольник, вершина вниз	Белый	Есть	Нет	---	Нет	Нет	---	---	---
2.2  «Проезд без остановки запрещен».	2	Восьмиугольник	Красный	Нет	Нет	---	Нет	Нет	Слово СТОП	---	---
2.3  «Главная дорога»..	2	Ромб	Желтый	Есть	Нет	---	Нет	Нет	---	---	---
2.5  «Преимущество встречного движения».	2	Круг	Белый	Есть	Нет	---	Есть	Есть	---	---	---
2.6  «Преимущество перед встречным движением»	2	Квадрат	Синий	Нет	Нет	---	Есть	Есть	---	---	---
3.3  «Движение грузовых автомобилей запрещено».	3	Круг	Белый	Есть	Нет	---	Нет	Нет	Числа, елиницы измерения	Частный (легковые, грузовые автомобили, мотоциклы, велосипеды)	---
3.21  «Въезд запрещен».	3	Круг	Красный	Нет	Нет	---	Нет	Нет	---	---	---
3.31  «Зона ограничения максимальной скорости».	3	Прямоугольник	Белый	Нет	Есть	Круг	Нет	Нет	---	---	---
3.34  «Остановка запрещена».	3	Круг	Синий	Есть	Нет	---	Нет	Нет	---	---	---
3.38  «Зона ограниченной стоянки».	3	Прямоугольник	Белый	Нет	Есть	Круг	Нет	Нет	---	---	---
3.42  «Конец всех запретов и ограничений».	3	Круг	Белый	Нет	Нет	---	Нет	Нет	---	---	---
4.1  «Движение прямо».	4	Круг	Синий	Нет	Нет	---	Есть	Нет	---	---	---
4.16  «Ограничение минимальной скорости».	4	Круг	Синий	Нет	Нет	---	Нет	Нет	Числа, елиницы измерения	---	---
4.18.1 «Направление движения транспортных средств с опасными грузами».	4	Прямоугольник	Белый	Нет	Есть	Круг	Есть	Нет	---	---	---
5.1  «Автомагистраль»	5	Прямоугольник	Зеленый	Нет	Нет	---	Нет	Нет	---	---	---
5.3  «Дорога для автомобилей».	5	Прямоугольник	Синий	Нет	Нет	---	Нет	Нет	---	Частный (легковые, грузовые автомобили, мотоциклы, велосипеды)	---
5.5  «Дорога с односторонним движением».	5	Квадрат	Синий	Нет	Нет	---	Есть	Нет	---	---	---
5.24.1  «Изменение направления движения на дороге с разделительной полосой».	5	Прямоугольник	Желтый	Нет	Есть	Круг	Есть	Нет	---	---	---
5.30  «Рекомендуемая скорость».	5	Квадрат	Синий	Нет	Нет	---	Нет	Нет	Числа, елиницы измерения	---	---
5.33  «Пешеходная зона».	5	Квадрат	Белый	Нет	Нет	---	Нет	Нет	---	---	---
5.39  «Зона стоянки».	5	Прямоугольник	Белый	Нет	Есть	Квадрат	Нет	Нет	---	---	---
5.45  «Начало населенного пункта».	5	Прямоугольник	Белый	Нет	Нет	---	Нет	Нет	Георафические названия	---	---
5.62  «Место остановки».	5	Прямоугольник	Белый	Нет	Нет	---	Нет	Нет	Слово СТОП	---	---
5.63.1  «Начало плотной застройки».	5	Прямоугольник	Белый	Нет	Нет	---	Нет	Нет	---	---	Городские
5.65  «Аэропорт».	5	Прямоугольник	Синий	Нет	Нет	---	Нет	Нет	---	Общественный (автобус, троллейбус, трамвай, самолет, поезд)	---
5.69  «Промышленная зона».	5	Прямоугольник	Синий	Нет	Нет	---	Нет	Нет	---	---	Городские
6.1  «Пункт первой медицинской помощи».	6	Прямоугольник	Синий	Нет	Нет	---	Нет	Нет	---	---	---
6.5  «Пункт технического обслуживания».	6	Прямоугольник	Синий	Нет	Нет	---	Есть	Нет	Числа, елиницы измерения	---	---
6.17  «Туристическая база».	6	Прямоугольник	Синий	Нет	Нет	---	Нет	Нет	---	---	Загородные
7.2.1  «Зона действия».	7	Прямоугольник	Белый	Нет	Нет	---	Есть	Нет	Числа, елиницы измерения	---	---
7.4.7  «Время действия»	7	Прямоугольник	Белый	Нет	Нет	---	Нет	Нет	Дата, время, дни недели	---	---
7.5.1  «Вид транспортного средства»	7	Прямоугольник	Белый	Нет	Нет	---	Нет	Нет	---	Частный (легковые, грузовые автомобили, мотоциклы, велосипеды)	---
7.5.4  «Вид транспортного средства»	7	Прямоугольник	Белый	Нет	Нет	---	Нет	Нет	---	Общественный (автобус, троллейбус, трамвай, самолет, поезд)	---
